Servicio Meteorológico Nacional
Red: OCAVM
Estación: TEPEATLOXTOC
Estado: México
Municipio: Tepetlaoxtoc
Latitud (N): 19.56919722
Longitud (O): -98.824975
Altitud: 2320

Fecha Local,Fecha UTC,Precipitación (mm),Temperatura del Aire (°C),Rapidez de viento (km/h),Dirección del Viento (grados),Rapidez de ráfaga (km/h),Dirección de ráfaga (grados),Humedad relativa (%),Radiación Solar (W/m²),Presión Atmosférica (hpa),
2023-01-02 14:20:00,2023-01-02 20:20:00,0,17,22,137.0,41.8,135.0,29,530,576.4,
2023-01-02 14:10:00,2023-01-02 20:10:00,0,17.2,22.1,137.0,39.2,141.0,29,612,576.9,
2023-01-02 14:00:00,2023-01-02 20:00:00,0,17,24.1,139.0,44.3,151.0,29,738,578.6,
2023-01-02 13:50:00,2023-01-02 19:50:00,0,17.1,23.7,138.0,41.4,146.0,30,669,579.6,
2023-01-02 13:40:00,2023-01-02 19:40:00,0,17,21.3,129.0,41.8,134.0,29,769,578.6,
2023-01-02 13:30:00,2023-01-02 19:30:00,0,16.9,22.6,143.0,36,159.0,29,819,578.1,
2023-01-02 13:20:00,2023-01-02 19:20:00,0,16.9,22.4,133.0,46.8,166.0,30,821,578.3,
2023-01-02 13:10:00,2023-01-02 19:10:00,0,17,20.3,150.0,37.1,168.0,30,825,578.1,
2023-01-02 13:00:00,2023-01-02 19:00:00,0,17.2,18,150.0,37.1,161.0,29,836,578,
2023-01-02 12:50:00,2023-01-02 18:50:00,0,16.8,20.6,148.0,35.6,176.0,30,834,578.1,
2023-01-02 12:40:00,2023-01-02 18:40:00,0,16.9,19.5,137.0,34.6,156.0,30,825,579.1,
2023-01-02 12:30:00,2023-01-02 18:30:00,0,16.8,18.9,148.0,36,143.0,31,836,586.2,
2023-01-02 12:20:00,2023-01-02 18:20:00,0,17,16.7,135.0,32.4,168.0,30,832,587.8,
2023-01-02 12:10:00,2023-01-02 18:10:00,0,16.7,19.2,147.0,34.6,148.0,32,821,589.1,
2023-01-02 12:00:00,2023-01-02 18:00:00,0,16.7,19.4,151.0,41.4,164.0,31,819,586.2,
2023-01-02 11:50:00,2023-01-02 17:50:00,0,16.2,20.2,147.0,38.5,143.0,32,808,583.3,
2023-01-02 11:40:00,2023-01-02 17:40:00,0,16.4,17.1,148.0,36,189.0,32,780,582.1,
2023-01-02 11:30:00,2023-01-02 17:30:00,0,16,20.2,156.0,33.8,163.0,33,782,582.1,
2023-01-02 11:20:00,2023-01-02 17:20:00,0,16.2,18.1,160.0,38.5,178.0,33,770,581.7,
2023-01-02 11:10:00,2023-01-02 17:10:00,0,15.7,17.6,160.0,32.8,148.0,33,717,580.6,
2023-01-02 11:00:00,2023-01-02 17:00:00,0,15.4,21.7,152.0,36,164.0,35,748,580.2,
2023-01-02 10:50:00,2023-01-02 16:50:00,0,15.2,20.6,159.0,34.6,162.0,35,714,580,
2023-01-02 10:40:00,2023-01-02 16:40:00,0,14.9,15.5,164.0,36,203.0,37,682,580.3,
2023-01-02 10:30:00,2023-01-02 16:30:00,0,14.9,16.5,159.0,30.2,169.0,38,496,581.2,
2023-01-02 10:20:00,2023-01-02 16:20:00,0,14.4,11.5,152.0,29.9,164.0,40,630,581.3,
2023-01-02 10:10:00,2023-01-02 16:10:00,0,14.2,16,156.0,32.8,170.0,40,573,581,
2023-01-02 10:00:00,2023-01-02 16:00:00,0,13.7,14.1,156.0,25.2,195.0,42,582,579.4,
2023-01-02 09:50:00,2023-01-02 15:50:00,0,13.3,12.8,154.0,27.7,154.0,44,418,579.3,
2023-01-02 09:40:00,2023-01-02 15:40:00,0,12.7,6.5,168.0,15.5,181.0,51,104,577.6,
2023-01-02 09:30:00,2023-01-02 15:30:00,0,11.8,6.8,182.0,13.7,196.0,56,49,577.6,
2023-01-02 09:20:00,2023-01-02 15:20:00,0,10.5,3.7,254.0,8.3,312.0,60,251,575.2,
2023-01-02 09:10:00,2023-01-02 15:10:00,0,10,3.9,284.0,6.5,308.0,60,356,573.2,
2023-01-02 09:00:00,2023-01-02 15:00:00,0,9.5,2,298.0,4,298.0,60,142,571.3,
2023-01-01 11:20:00,2023-01-01 17:20:00,0,15.3,7.5,172.0,14.8,194.0,41,574,566,
2023-01-01 11:10:00,2023-01-01 17:10:00,0,15.2,7.7,175.0,16.9,206.0,42,586,567.4,
2023-01-01 11:00:00,2023-01-01 17:00:00,0,14.6,7.5,222.0,14.8,234.0,44,719,573.8,
2023-01-01 10:50:00,2023-01-01 16:50:00,0,14.7,4.9,195.0,11.2,230.0,43,710,647.8,
2023-01-01 10:40:00,2023-01-01 16:40:00,0,14.3,4.5,170.0,10.1,193.0,44,688,656.7,
2023-01-01 10:30:00,2023-01-01 16:30:00,0,13.4,4,226.0,9,228.0,47,647,639.8,
2023-01-01 10:20:00,2023-01-01 16:20:00,0,13.2,3.4,209.0,7.2,238.0,47,628,639.6,
2023-01-01 10:10:00,2023-01-01 16:10:00,0,11.8,2.7,195.0,6.5,208.0,54,559,688.1,
2023-01-01 10:00:00,2023-01-01 16:00:00,0,10.7,2.8,222.0,5.8,257.0,59,560,683.7,
2023-01-01 09:50:00,2023-01-01 15:50:00,0,9.8,2.1,197.0,5,199.0,63,108,645.2,
2023-01-01 09:40:00,2023-01-01 15:40:00,0,9.1,1.9,263.0,4.7,286.0,66,53,658.4,
2023-01-01 09:30:00,2023-01-01 15:30:00,0,8.4,2.8,266.0,5,295.0,68,62,702,
2023-01-01 09:20:00,2023-01-01 15:20:00,0,8,2.4,242.0,4.3,254.0,69,354,622.7,
2023-01-01 09:10:00,2023-01-01 15:10:00,0,7.6,2.5,216.0,5.8,234.0,71,354,613.5,
2023-01-01 09:00:00,2023-01-01 15:00:00,0,7.1,2.9,203.0,4.3,200.0,72,154,609.2,
2022-12-31 15:50:00,2022-12-31 21:50:00,0,18.2,14.2,150.0,28.1,205.0,30,117,615,
2022-12-31 15:40:00,2022-12-31 21:40:00,0,18.7,11.9,163.0,25.2,171.0,29,384,616.3,
2022-12-31 15:30:00,2022-12-31 21:30:00,0,18.4,11.3,160.0,23.4,210.0,29,521,613.1,
2022-12-31 15:20:00,2022-12-31 21:20:00,0,17.9,10.6,171.0,23.4,164.0,31,442,612.4,
2022-12-31 15:10:00,2022-12-31 21:10:00,0,17.9,12,164.0,23,202.0,30,238,612.3,
2022-12-31 15:00:00,2022-12-31 21:00:00,0,18.6,10,182.0,17.6,203.0,29,358,612.3,
2022-12-31 14:50:00,2022-12-31 20:50:00,0,18.9,9.9,162.0,18.7,167.0,28,461,617.9,
2022-12-31 14:40:00,2022-12-31 20:40:00,0,18.6,11.3,160.0,23.8,169.0,29,677,624.5,
2022-12-31 14:30:00,2022-12-31 20:30:00,0,17.7,11,142.0,23.4,146.0,30,439,622.3,
2022-12-31 14:20:00,2022-12-31 20:20:00,0,17.6,12.2,160.0,20.5,192.0,31,410,621.7,
2022-12-31 14:10:00,2022-12-31 20:10:00,0,17.2,11.5,181.0,19.8,194.0,31,258,622.8,
2022-12-31 14:00:00,2022-12-31 20:00:00,0,18.1,14.8,0.0,70,,30,384,620.7,
2022-12-31 13:40:00,2022-12-31 19:40:00,0,18,14.1,0.0,302.2,,31,759,619.3,
2022-12-31 13:10:00,2022-12-31 19:10:00,0,17.7,13.5,0.0,47.9,186.0,33,762,609.7,
2022-12-31 13:00:00,2022-12-31 19:00:00,0,17.8,13.6,179.0,27.7,198.0,33,797,608.9,
2022-12-31 12:50:00,2022-12-31 18:50:00,0,17.8,11,177.0,21.2,194.0,32,827,615.6,
2022-12-31 12:40:00,2022-12-31 18:40:00,0,17.4,13,176.0,26.6,240.0,33,833,620.5,
2022-12-31 12:30:00,2022-12-31 18:30:00,0,16.8,7.5,3.0,16.9,334.0,36,834,648.8,
2022-12-31 12:20:00,2022-12-31 18:20:00,0,16.4,4.6,291.0,15.8,356.0,37,823,650.2,
2022-12-31 12:10:00,2022-12-31 18:10:00,0,15.6,4.3,301.0,9.7,319.0,41,677,649.7,
2022-12-31 12:00:00,2022-12-31 18:00:00,0,14.1,5.7,318.0,13.3,359.0,45,826,651.7,
2022-12-31 11:50:00,2022-12-31 17:50:00,0,13.1,5.4,327.0,10.4,350.0,48,417,646,
2022-12-31 11:40:00,2022-12-31 17:40:00,0,13,4.3,332.0,7.9,337.0,49,287,649.3,
2022-12-31 11:30:00,2022-12-31 17:30:00,0,13,3.1,44.0,7.9,340.0,53,454,653,
2022-12-31 11:20:00,2022-12-31 17:20:00,0,12.4,2.8,321.0,5.8,281.0,58,404,655.2,
2022-12-31 11:10:00,2022-12-31 17:10:00,0,12.6,2.4,303.0,6.5,319.0,58,405,651.3,
2022-12-31 11:00:00,2022-12-31 17:00:00,0,11.7,2.7,262.0,7.9,285.0,63,256,647.9,
2022-12-31 10:50:00,2022-12-31 16:50:00,0,11.3,3.2,274.0,6.8,280.0,66,226,642.3,
2022-12-31 10:40:00,2022-12-31 16:40:00,0,11.2,4.1,250.0,8.3,256.0,66,204,634.4,
2022-12-31 10:30:00,2022-12-31 16:30:00,0,11,4.5,243.0,9.4,299.0,65,208,631.8,
2022-12-31 10:20:00,2022-12-31 16:20:00,0,11.2,5.1,237.0,8.6,239.0,65,266,634,
2022-12-31 10:10:00,2022-12-31 16:10:00,0,10.9,3.9,236.0,6.8,266.0,64,221,633.3,
2022-12-31 10:00:00,2022-12-31 16:00:00,0,11.3,1.9,230.0,5.8,268.0,62,220,630.9,
2022-12-30 17:50:00,2022-12-30 23:50:00,0,4.6,4.1,24.0,4.7,32.0,79,41,587,
2022-12-30 11:50:00,2022-12-30 17:50:00,0,16.2,7.9,194.0,20.9,172.0,27,809,611,
2022-12-30 11:40:00,2022-12-30 17:40:00,0,15.2,8.5,185.0,19.4,247.0,30,768,608.1,
2022-12-30 11:30:00,2022-12-30 17:30:00,0,14.6,9.1,203.0,15.5,212.0,30,626,606.8,
2022-12-30 11:20:00,2022-12-30 17:20:00,0,14.6,8.7,173.0,16.9,224.0,31,644,606.9,
2022-12-30 11:10:00,2022-12-30 17:10:00,0,14.4,7,193.0,15.1,229.0,35,796,608.3,
2022-12-30 11:00:00,2022-12-30 17:00:00,0,13.2,6.3,189.0,11.9,164.0,40,454,608.5,
2022-12-30 09:50:00,2022-12-30 15:50:00,0,10.4,2.9,315.0,5.4,348.0,49,155,591.1,
2022-12-30 09:40:00,2022-12-30 15:40:00,0,10.3,2.1,31.0,6.5,308.0,49,118,587,
2022-12-30 09:30:00,2022-12-30 15:30:00,0,10.1,2.8,35.0,6.1,301.0,49,105,586.2,
2022-12-30 09:20:00,2022-12-30 15:20:00,0,9.9,3.6,59.0,7.2,103.0,53,357,585.1,
2022-12-30 09:10:00,2022-12-30 15:10:00,0,9.8,4.1,89.0,6.1,55.0,57,372,584,
2022-12-29 18:50:00,2022-12-30 00:50:00,0,9.1,5.2,60.0,9,88.0,61,361,582.7,
2022-12-29 18:40:00,2022-12-30 00:40:00,0,8.1,3.6,84.0,8.6,104.0,66,219,580.9,
2022-12-29 18:30:00,2022-12-30 00:30:00,0,7.8,3.1,64.0,7.9,74.0,66,111,582,
2022-12-29 18:20:00,2022-12-30 00:20:00,0,7.3,4.6,44.0,8.3,46.0,69,76,582.3,
2022-12-29 18:10:00,2022-12-30 00:10:00,0,6.1,4.2,41.0,8.6,50.0,75,57,586.5,
2022-12-29 18:00:00,2022-12-30 00:00:00,0,5,5.3,31.0,9,47.0,79,45,586.3,
2022-12-29 09:50:00,2022-12-29 15:50:00,0,9.5,4.3,210.0,9,246.0,47,267,753.2,
2022-12-29 09:40:00,2022-12-29 15:40:00,0,8.6,2.5,250.0,5.4,275.0,49,92,748.5,
2022-12-29 09:30:00,2022-12-29 15:30:00,0,8,3.6,269.0,6.5,297.0,53,101,747.1,
2022-12-29 09:20:00,2022-12-29 15:20:00,0,7.6,2,281.0,3.2,259.0,55,194,744.7,
2022-12-29 09:10:00,2022-12-29 15:10:00,0,7.3,1.6,268.0,5,254.0,58,250,743.4,
2022-12-28 14:50:00,2022-12-28 20:50:00,0,17.1,12.9,142.0,30.6,136.0,21,636,640.2,
2022-12-28 14:40:00,2022-12-28 20:40:00,0,17,16.9,146.0,27,151.0,20,657,646.1,
2022-12-28 14:30:00,2022-12-28 20:30:00,0,17.2,15.3,142.0,33.5,145.0,20,684,654.8,
2022-12-28 14:20:00,2022-12-28 20:20:00,0,17.5,14,144.0,28.1,210.0,20,712,655.8,
2022-12-28 14:10:00,2022-12-28 20:10:00,0,17.5,14.2,165.0,32.8,163.0,20,732,654.9,
2022-12-28 14:00:00,2022-12-28 20:00:00,0,17.6,14,164.0,27.4,183.0,20,751,651.6,
2022-12-28 13:50:00,2022-12-28 19:50:00,0,17.4,13.6,160.0,26.6,199.0,22,767,654.2,
2022-12-28 13:40:00,2022-12-28 19:40:00,0,16.8,10.3,157.0,27.4,162.0,23,778,655.9,
2022-12-28 13:30:00,2022-12-28 19:30:00,0,16.8,16.1,136.0,26.3,170.0,22,790,657.1,
2022-12-28 13:20:00,2022-12-28 19:20:00,0,17.4,10.3,171.0,24.5,201.0,23,792,657.1,
2022-12-28 13:10:00,2022-12-28 19:10:00,0,16.8,12.8,168.0,25.9,175.0,23,796,657.1,
2022-12-28 13:00:00,2022-12-28 19:00:00,0,16.3,11.5,177.0,24.1,214.0,24,790,658.1,
2022-12-28 12:50:00,2022-12-28 18:50:00,0,16.4,14.1,184.0,24.8,199.0,25,813,659.7,
2022-12-28 12:40:00,2022-12-28 18:40:00,0,16.4,12.3,182.0,24.1,223.0,25,819,661.5,
2022-12-28 12:30:00,2022-12-28 18:30:00,0,16.3,9.7,195.0,20.5,199.0,27,813,654.8,
2022-12-28 12:20:00,2022-12-28 18:20:00,0,16,10.4,196.0,24.5,232.0,27,800,654,
2022-12-28 12:10:00,2022-12-28 18:10:00,0,15.8,13.2,194.0,22,222.0,27,779,653.4,
2022-12-28 12:00:00,2022-12-28 18:00:00,0,15.8,9.3,188.0,19.1,176.0,28,780,654.2,
2022-12-28 11:50:00,2022-12-28 17:50:00,0,15.2,7.7,197.0,20.9,232.0,29,762,660.9,
2022-12-28 11:40:00,2022-12-28 17:40:00,0,14.5,10.8,197.0,19.1,227.0,31,785,653.4,
2022-12-28 11:30:00,2022-12-28 17:30:00,0,14.1,12.6,198.0,22,232.0,32,776,660.2,
2022-12-28 11:20:00,2022-12-28 17:20:00,0,14.1,9.2,207.0,16.6,241.0,34,770,661.9,
2022-12-28 11:10:00,2022-12-28 17:10:00,0,13.8,8.6,189.0,15.8,220.0,35,750,665.7,
2022-12-28 11:00:00,2022-12-28 17:00:00,0,12.5,5.6,202.0,12.6,209.0,40,741,663.8,
2022-12-26 15:50:00,2022-12-26 21:50:00,0,14.5,5.1,208.0,11.2,268.0,29,115,637.1,
2022-12-26 15:40:00,2022-12-26 21:40:00,0,15.1,8.2,220.0,16.6,262.0,28,283,637.2,
2022-12-26 15:30:00,2022-12-26 21:30:00,0,15.3,10.2,227.0,19.4,247.0,27,485,646.5,
2022-12-26 15:20:00,2022-12-26 21:20:00,0,15.3,6.2,224.0,19.4,252.0,28,535,645.5,
2022-12-26 15:10:00,2022-12-26 21:10:00,0,15.2,9.8,237.0,20.5,243.0,30,536,653.7,
2022-12-26 15:00:00,2022-12-26 21:00:00,0,15.8,5.7,207.0,14.8,240.0,29,596,656.8,
2022-12-26 14:50:00,2022-12-26 20:50:00,0,15.3,5,228.0,10.4,256.0,28,639,635.6,
2022-12-26 14:40:00,2022-12-26 20:40:00,0,15.2,6.8,229.0,16.9,249.0,30,662,635.6,
2022-12-26 14:30:00,2022-12-26 20:30:00,0,15.4,5.9,225.0,15.1,251.0,30,689,636.4,
2022-12-26 14:20:00,2022-12-26 20:20:00,0,15,6.8,206.0,13.3,240.0,32,520,649.9,
2022-12-26 14:10:00,2022-12-26 20:10:00,0,15.5,5.2,195.0,12.2,250.0,35,604,655.3,
2022-12-26 14:00:00,2022-12-26 20:00:00,0,15.6,6.9,195.0,13,203.0,35,763,657.2,
2022-12-26 13:50:00,2022-12-26 19:50:00,0,14.9,7.3,205.0,17.3,234.0,40,774,665.9,
2022-12-26 13:40:00,2022-12-26 19:40:00,0,14.2,7.6,241.0,15.5,350.0,41,768,675.2,
2022-12-26 13:30:00,2022-12-26 19:30:00,0,14.1,4.8,217.0,10.1,273.0,42,797,685.9,
2022-12-26 13:20:00,2022-12-26 19:20:00,0,13.4,5.6,258.0,10.8,271.0,42,797,681.1,
2022-12-26 13:10:00,2022-12-26 19:10:00,0,13.8,3.1,166.0,10.4,176.0,49,807,666.1,
2022-12-26 13:00:00,2022-12-26 19:00:00,0,13,2.8,157.0,7.6,189.0,48,818,666.1,
2022-12-26 12:50:00,2022-12-26 18:50:00,0,12.3,3.5,191.0,8.6,215.0,59,833,677.7,
2022-12-26 12:40:00,2022-12-26 18:40:00,0,11.8,4.3,226.0,9.7,261.0,69,816,671.1,
2022-12-26 12:30:00,2022-12-26 18:30:00,0,11.1,4.9,237.0,10.8,281.0,69,825,681.4,
2022-12-26 12:20:00,2022-12-26 18:20:00,0,10.8,3.3,218.0,8.6,244.0,70,823,685.7,
2022-12-26 12:10:00,2022-12-26 18:10:00,0,9.9,4.3,230.0,8.6,232.0,76,816,688.1,
2022-12-26 12:00:00,2022-12-26 18:00:00,0,9.4,3.6,192.0,8.3,269.0,80,808,686.2,
2022-12-26 11:50:00,2022-12-26 17:50:00,0,8,4.1,234.0,7.9,251.0,86,798,682,
2022-12-26 11:40:00,2022-12-26 17:40:00,0,7.4,3.8,215.0,8.3,232.0,91,786,689.3,
2022-12-26 11:30:00,2022-12-26 17:30:00,0,6.6,4.8,260.0,10.1,289.0,93,715,683.9,
2022-12-26 11:20:00,2022-12-26 17:20:00,0,6.2,3.1,232.0,8.6,267.0,96,773,675.6,
2022-12-26 11:10:00,2022-12-26 17:10:00,0,4.8,4,236.0,8.3,292.0,100,514,675.4,
2022-12-26 11:00:00,2022-12-26 17:00:00,0,4.4,4.4,315.0,7.6,312.0,100,356,668.5,
2022-12-26 10:40:00,2022-12-26 16:40:00,0,4.1,3.5,307.0,6.8,350.0,100,224,670,
2022-12-26 10:30:00,2022-12-26 16:30:00,0,3.7,2.1,0.0,13,105.0,100,250,670.5,
2022-12-26 10:20:00,2022-12-26 16:20:00,0,3.3,2.2,75.0,4.3,352.0,100,242,676.2,
2022-12-26 10:10:00,2022-12-26 16:10:00,0,2.9,1.9,87.0,4.7,145.0,100,248,678.4,
2022-12-26 10:00:00,2022-12-26 16:00:00,0,2.7,3.1,216.0,7.2,256.0,100,159,675.7,
2022-12-26 09:50:00,2022-12-26 15:50:00,0,2.7,3.9,256.0,8.3,321.0,100,150,673,
2022-12-26 09:40:00,2022-12-26 15:40:00,0,2.7,3.1,264.0,8.3,289.0,100,159,669.9,
2022-12-26 09:30:00,2022-12-26 15:30:00,0,2.4,3.4,330.0,6.1,346.0,100,184,668.7,
2022-12-26 09:20:00,2022-12-26 15:20:00,0,2.6,2.5,310.0,5,329.0,100,158,668.1,
2022-12-26 09:10:00,2022-12-26 15:10:00,0,2.3,1.8,278.0,4.7,353.0,100,108,663,
2022-12-26 09:00:00,2022-12-26 15:00:00,0,2,3.1,269.0,5.4,271.0,100,87,660.9,
2022-12-25 12:50:00,2022-12-25 18:50:00,0,12.4,11.8,290.0,23.8,294.0,54,200,668.7,
2022-12-25 12:40:00,2022-12-25 18:40:00,0,13,16.7,262.0,25.2,279.0,53,197,671.8,
2022-12-25 12:30:00,2022-12-25 18:30:00,0,15.6,9.1,230.0,21.6,271.0,42,709,680.3,
2022-12-25 12:20:00,2022-12-25 18:20:00,0,16,5.9,226.0,15.8,275.0,40,925,673.6,
2022-12-25 12:10:00,2022-12-25 18:10:00,0,15.2,3,156.0,7.6,331.0,44,884,666.1,
2022-12-25 12:00:00,2022-12-25 18:00:00,0,13.3,2.8,45.0,9.4,285.0,57,832,660.1,
2022-12-24 10:50:00,2022-12-24 16:50:00,0,13.3,6.4,182.0,10.8,215.0,44,424,643.9,
2022-12-24 10:40:00,2022-12-24 16:40:00,0,12.5,5.5,192.0,10.1,228.0,47,517,645.6,
2022-12-24 10:30:00,2022-12-24 16:30:00,0,11.5,5.6,203.0,11.2,179.0,53,264,638.2,
2022-12-24 10:20:00,2022-12-24 16:20:00,0,11.5,7.2,214.0,13.7,252.0,53,348,640,
2022-12-24 10:10:00,2022-12-24 16:10:00,0,11,4.5,206.0,8.6,260.0,55,410,638.3,
2022-12-24 10:00:00,2022-12-24 16:00:00,0,10.7,6.2,232.0,11.2,253.0,58,394,639.6,
2022-12-24 09:50:00,2022-12-24 15:50:00,0,10.2,5.4,214.0,10.1,240.0,61,288,637,
2022-12-24 09:40:00,2022-12-24 15:40:00,0,10,4.1,213.0,6.8,231.0,62,211,637.1,
2022-12-24 09:30:00,2022-12-24 15:30:00,0,9.4,3.8,218.0,8.6,227.0,63,204,637.9,
2022-12-24 09:20:00,2022-12-24 15:20:00,0,9,3.4,230.0,6.8,272.0,64,198,636.2,
2022-12-24 09:10:00,2022-12-24 15:10:00,0,8.3,2.9,237.0,6.1,256.0,67,219,639.3,
2022-12-24 09:00:00,2022-12-24 15:00:00,0,8,3.3,254.0,5.8,346.0,68,145,638.8,
2022-12-23 18:20:00,2022-12-24 00:20:00,0,6.4,2.6,41.0,5,38.0,71,84,637.6,
2022-12-23 18:10:00,2022-12-24 00:10:00,0,5.4,4,46.0,7.2,55.0,75,66,635.7,
2022-12-23 18:00:00,2022-12-24 00:00:00,0,4.4,4.3,41.0,6.5,47.0,81,55,633.9,
2022-12-23 14:40:00,2022-12-23 20:40:00,0,19.2,8.7,165.0,14.4,163.0,30,536,780.7,
2022-12-23 14:30:00,2022-12-23 20:30:00,0,19.3,8.6,186.0,17.3,209.0,30,580,780.1,
2022-12-23 14:20:00,2022-12-23 20:20:00,0,19.6,4.5,212.0,10.8,339.0,30,627,780.1,
2022-12-23 14:10:00,2022-12-23 20:10:00,0,19,5.4,194.0,11.2,240.0,31,547,779.4,
2022-12-23 14:00:00,2022-12-23 20:00:00,0,19.2,6.1,205.0,12.6,234.0,31,645,734.4,
2022-12-23 13:50:00,2022-12-23 19:50:00,0,18.4,9.6,164.0,16.9,167.0,32,686,712.4,
2022-12-23 13:40:00,2022-12-23 19:40:00,0,18.4,6.2,167.0,13.3,211.0,32,701,708.7,
2022-12-23 13:30:00,2022-12-23 19:30:00,0,18.1,4.2,216.0,11.2,222.0,33,709,701.8,
2022-12-23 13:20:00,2022-12-23 19:20:00,0,18.2,7.5,203.0,15.8,243.0,33,732,696.3,
2022-12-23 13:10:00,2022-12-23 19:10:00,0,17.2,8.5,200.0,22,248.0,36,733,698.8,
2022-12-23 13:00:00,2022-12-23 19:00:00,0,16.8,5.9,221.0,11.9,276.0,37,733,701.5,
2022-12-23 12:50:00,2022-12-23 18:50:00,0,16.8,7.2,230.0,14.8,232.0,36,739,702,
2022-12-23 12:40:00,2022-12-23 18:40:00,0,17.3,6.8,207.0,15.1,259.0,35,729,705.1,
2022-12-23 12:30:00,2022-12-23 18:30:00,0,16.9,4.2,209.0,24.1,2.0,36,728,697.3,
2022-12-22 10:50:00,2022-12-22 16:50:00,0,15.3,4.3,198.0,12.2,245.0,40,663,780,
2022-12-22 10:40:00,2022-12-22 16:40:00,0,14.3,6.3,241.0,11.2,248.0,42,647,780,
2022-12-22 10:30:00,2022-12-22 16:30:00,0,13.8,5.6,244.0,11.9,283.0,42,622,780.1,
2022-12-22 10:20:00,2022-12-22 16:20:00,0,13.4,4.7,0.0,16.8,330.0,43,598,780.3,
2022-12-22 10:10:00,2022-12-22 16:10:00,0,12.8,5,260.0,24.5,34.0,43,552,780.5,
2022-12-21 14:50:00,2022-12-21 20:50:00,0,20.4,6,212.0,14,201.0,23,600,778.9,
2022-12-21 14:40:00,2022-12-21 20:40:00,0,19.8,11.6,179.0,24.5,200.0,23,627,779,
2022-12-21 14:30:00,2022-12-21 20:30:00,0,19.2,7,231.0,15.8,254.0,24,650,779.2,
2022-12-21 14:20:00,2022-12-21 20:20:00,0,19,6.6,188.0,13,245.0,26,663,779.2,
2022-12-21 14:10:00,2022-12-21 20:10:00,0,19.4,10,209.0,19.4,229.0,25,669,779.3,
2022-12-21 14:00:00,2022-12-21 20:00:00,0,18.8,4.7,209.0,10.4,215.0,25,693,779.6,
2022-12-21 13:50:00,2022-12-21 19:50:00,0,19,9.7,203.0,16.9,184.0,25,488,779.7,
2022-12-21 13:40:00,2022-12-21 19:40:00,0,19.2,4.6,273.0,10.1,341.0,23,589,779.7,
2022-12-21 13:30:00,2022-12-21 19:30:00,0,18.7,6.7,174.0,16.6,337.0,24,759,779.9,
2022-12-21 13:20:00,2022-12-21 19:20:00,0,18.6,4.9,141.0,14,157.0,25,746,780,
2022-12-21 13:10:00,2022-12-21 19:10:00,0,17.7,4.3,102.0,13.3,136.0,28,767,780.2,
2022-12-21 13:00:00,2022-12-21 19:00:00,0,18.4,7.6,178.0,14,201.0,28,774,780.4,
2022-12-21 12:50:00,2022-12-21 18:50:00,0,18.1,5.7,191.0,13.7,210.0,29,789,780.7,
2022-12-21 12:40:00,2022-12-21 18:40:00,0,17.9,5.7,182.0,13.7,194.0,29,791,780.9,
2022-12-21 12:30:00,2022-12-21 18:30:00,0,17.4,5.4,209.0,11.9,221.0,32,793,780.9,
2022-12-21 12:20:00,2022-12-21 18:20:00,0,17.1,4.9,183.0,14,229.0,33,791,781,
2022-12-21 12:10:00,2022-12-21 18:10:00,0,16.6,6.3,201.0,13,218.0,36,758,781.2,
2022-12-21 12:00:00,2022-12-21 18:00:00,0,16.7,6.2,168.0,15.8,196.0,35,693,781.5,
2022-12-21 11:50:00,2022-12-21 17:50:00,0,16,8.7,0.0,125.9,,38,717,781.7,
2022-12-21 10:50:00,2022-12-21 16:50:00,0,12.3,4.2,212.0,10.1,358.0,45,694,782.3,
2022-12-21 10:40:00,2022-12-21 16:40:00,0,11.8,5.4,237.0,10.8,248.0,46,668,782.3,
2022-12-21 10:30:00,2022-12-21 16:30:00,0,11.2,5.3,204.0,9,218.0,50,645,782.5,
2022-12-21 10:20:00,2022-12-21 16:20:00,0,10.5,3.6,198.0,8.6,223.0,54,594,782.6,
2022-12-21 10:10:00,2022-12-21 16:10:00,0,9.5,2.4,260.0,6.5,293.0,59,547,782.8,
2022-12-21 10:00:00,2022-12-21 16:00:00,0,8.5,2.5,208.0,6.8,227.0,63,548,783.2,
2022-12-21 09:50:00,2022-12-21 15:50:00,0,7.7,2.4,182.0,4.7,182.0,66,304,783.5,
2022-12-21 09:40:00,2022-12-21 15:40:00,0,7.2,3,218.0,5.4,278.0,68,67,783.4,
2022-12-21 09:30:00,2022-12-21 15:30:00,0,7.1,4.2,200.0,7.6,164.0,69,57,783.3,
2022-12-21 09:20:00,2022-12-21 15:20:00,0,6.3,4,181.0,7.2,225.0,72,116,783.4,
2022-12-21 09:10:00,2022-12-21 15:10:00,0,5.5,2.6,192.0,5,227.0,75,317,783.8,
2022-12-21 09:00:00,2022-12-21 15:00:00,0,5,1.9,237.0,4.3,253.0,77,191,784,
2022-12-20 10:30:00,2022-12-20 16:30:00,0,13.9,2.9,142.0,6.8,182.0,38,606,561.4,
2022-12-20 10:20:00,2022-12-20 16:20:00,0,13.3,4.3,175.0,8.6,174.0,39,574,527.9,
2022-12-20 10:10:00,2022-12-20 16:10:00,0,13,4.1,167.0,7.6,200.0,39,486,563.8,
2022-12-20 10:00:00,2022-12-20 16:00:00,0,11.8,5.2,175.0,9.7,200.0,43,488,610.2,
2022-12-20 09:50:00,2022-12-20 15:50:00,0,10.8,6.5,206.0,10.1,216.0,46,458,549.7,
